,index,date,county,state,fips,cases,deaths,new_cases,emp_combined,emp_combined_inclow,revenue_all,spend_all,month,year,median_income,median_age,pop,pop_density,over60,casesper100k,casesper100klog,region,pct_min,new_cases_per100k
108,30541,2020-12-26,Mariposa,California,6043.0,219,4.0,7.0,,,,-0.0327,12,2020,27678.0,49.2,18251,12.59718,29.647690537504797,1199.9342501780725,3.07915744974166,CA,9.939181414717,
109,30825,2020-12-26,Mendocino,California,6045.0,2382,25.0,68.0,,,-0.377,0.169,12,2020,26784.0,41.5,87841,25.05203,23.48220079461755,2711.7177627759247,3.4332444859149467,CA,22.912990516956775,
110,31103,2020-12-26,Merced,California,6047.0,17785,232.0,0.0,,,-0.233,-0.0587,12,2020,24873.0,29.6,255793,132.1947,13.386605575602147,6952.887686527778,3.842165214066302,CA,58.801843678286744,
111,31381,2020-12-26,Mono,California,6051.0,843,4.0,26.0,,,,-0.143,12,2020,30701.0,37.2,14202,4.657948,15.420363329108575,5935.783692437685,3.773478066312016,CA,26.820166173778347,
112,31666,2020-12-26,Monterey,California,6053.0,25788,186.0,657.0,,,-0.551,-0.0417,12,2020,28207.0,32.9,415057,126.5188,15.439325201116956,6213.122534977124,3.793309918837586,CA,58.49509826361199,
113,31971,2020-12-26,Napa,California,6055.0,5352,27.0,86.0,,,-0.0754,0.0122,12,2020,37953.0,39.7,136484,182.3771,21.258169455760378,3921.3387649834413,3.593434362679642,CA,34.20034582808241,
114,32257,2020-12-26,Nevada,California,6057.0,2458,44.0,29.0,,,-0.322,-0.0256,12,2020,32359.0,47.6,98764,103.1185,28.35041108096068,2488.761087035762,3.3959832077527845,CA,8.938479607954315,
115,32594,2020-12-26,Orange,California,6059.0,149439,1845.0,8234.0,,,-0.286,-0.0821,12,2020,36135.0,36.2,3010232,3807.684,16.49055620962105,4964.368194876674,3.69586398456585,CA,35.336711589007095,
116,32894,2020-12-26,Placer,California,6061.0,12660,120.0,203.0,,,-0.316,-0.0456,12,2020,41130.0,40.3,348432,247.6402,21.441199430591904,3633.420581347293,3.560315671902451,CA,14.195309271249485,
117,33165,2020-12-26,Plumas,California,6063.0,381,1.0,5.0,,,-0.494,-0.118,12,2020,31351.0,49.6,20007,7.836531,30.4093567251462,1904.3334832808519,3.2797430035373036,CA,8.981856350277404,
118,33460,2020-12-26,Riverside,California,6065.0,166690,1829.0,4255.0,,,-0.3,-0.0685,12,2020,28557.0,33.7,2189641,303.8434,16.32961750350857,7612.663445742933,3.8815366301495984,CA,51.87151683769165,
119,33770,2020-12-26,Sacramento,California,6067.0,61629,809.0,1034.0,,,-0.32,-0.0958,12,2020,32275.0,34.8,1418788,1470.79,16.130387344691385,4343.777928767371,3.6378676142842465,CA,31.946562840960034,
120,34059,2020-12-26,San Benito,California,6069.0,3365,26.0,77.0,,,-0.534,-0.0266,12,2020,33547.0,34.3,55269,39.79881,14.353435017821925,6088.403987768912,3.7845034617385025,CA,57.29975212144241,
121,34346,2020-12-26,San Bernardino,California,6071.0,181812,1429.0,4946.0,,,-0.269,-0.0908,12,2020,27235.0,31.7,2035210,101.4716,13.15692238147415,8933.328747401987,3.9510133163637695,CA,58.12702374693521,
122,34667,2020-12-26,San Diego,California,6073.0,142710,1402.0,5692.0,,,-0.357,-0.0956,12,2020,34307.0,34.6,3095313,735.8178,16.177233126342962,4610.519194666259,3.663749834431334,CA,37.13876431882656,
123,34996,2020-12-26,San Francisco,California,6075.0,22133,181.0,300.0,,,-0.565,-0.1,12,2020,52677.0,38.5,805235,17179.16,19.215508516147462,2748.6385961862065,3.4391176405345383,CA,21.191825988686535,
124,35288,2020-12-26,San Joaquin,California,6077.0,42089,618.0,765.0,,,-0.207,-0.0272,12,2020,29535.0,32.7,685306,492.5576,14.917277829174123,6141.635999101131,3.788284073216408,CA,46.41503211703969,
125,35576,2020-12-26,San Luis Obispo,California,6079.0,9749,67.0,245.0,,,-0.384,-0.0691,12,2020,31938.0,39.4,269637,81.74368,21.544891836061076,3615.6017163816537,3.55818058388729,CA,22.81697244814324,
