"GEO_ID","NAME","B07011_001E","B07011_001M","B07011_002E","B07011_002M","B07011_003E","B07011_003M","B07011_004E","B07011_004M","B07011_005E","B07011_005M","B07011_006E","B07011_006M"
"id","Geographic Area Name","Estimate!!Median income in the past 12 months --!!Total:","Margin of Error!!Median income in the past 12 months --!!Total:","Estimate!!Median income in the past 12 months --!!Total:!!Same house 1 year ago","Margin of Error!!Median income in the past 12 months --!!Total:!!Same house 1 year ago","Estimate!!Median income in the past 12 months --!!Total:!!Moved within same county","Margin of Error!!Median income in the past 12 months --!!Total:!!Moved within same county","Estimate!!Median income in the past 12 months --!!Total:!!Moved from different county within same state","Margin of Error!!Median income in the past 12 months --!!Total:!!Moved from different county within same state","Estimate!!Median income in the past 12 months --!!Total:!!Moved from different state","Margin of Error!!Median income in the past 12 months --!!Total:!!Moved from different state","Estimate!!Median income in the past 12 months --!!Total:!!Moved from abroad","Margin of Error!!Median income in the past 12 months --!!Total:!!Moved from abroad"
"0500000US48319","Mason County, Texas","26329","2683","27442","3839","-","**","25250","21905","2,500-","***","-","**"
"0500000US48321","Matagorda County, Texas","25473","1256","25257","1542","21162","5101","38259","7227","36734","16618","-","**"
"0500000US48323","Maverick County, Texas","18489","1697","18659","1668","16671","4296","22188","4200","8571","735","-","**"
"0500000US48325","Medina County, Texas","26529","1262","26278","1124","27198","8122","26141","9922","51091","10705","-","**"
"0500000US48327","Menard County, Texas","22898","3513","22615","3343","-","**","18214","17378","-","**","-","**"
"0500000US48329","Midland County, Texas","38804","1625","39989","1551","37591","4773","36872","5755","30694","7243","-","**"
"0500000US48331","Milam County, Texas","26198","1511","26710","1705","26977","7252","18884","6526","14632","5387","-","**"
"0500000US48333","Mills County, Texas","20128","5156","23373","5347","11809","481","19000","4440","-","**","-","**"
"0500000US48335","Mitchell County, Texas","26595","3167","26627","3119","32546","9787","6711","2273","70057","56671","-","**"
"0500000US48337","Montague County, Texas","27018","2038","27476","2587","26604","4332","16250","10933","30313","27281","31042","690"
"0500000US48339","Montgomery County, Texas","37915","970","38624","1064","32217","2551","35193","5463","34418","10403","53681","38007"
"0500000US48341","Moore County, Texas","31237","1417","31509","1847","31901","6685","16250","15009","23944","10054","-","**"
"0500000US48343","Morris County, Texas","23596","2224","24526","2510","31902","9746","14571","2849","10556","8683","13906","8702"
