,id,median_age,pop,african_american,median_income,area,pop_density
395,13019,39.6,19152,2247,24287.0,451.9,42.38105775614074
396,13021,36.4,153200,83405,24804.0,249.76,613.3888532991672
397,13023,35.8,12807,3522,25249.0,215.87,59.327372955945705
398,13025,41.1,18756,661,20927.0,442.36,42.399855321457636
399,13027,42.0,15590,5604,26162.0,493.05,31.619511205760062
400,13029,34.6,37063,5340,34997.0,435.97,85.01273023373167
401,13031,28.8,76120,21245,21375.0,672.81,113.13743850418395
402,13033,37.4,22520,10824,25474.0,826.97,27.231943117646345
403,13035,38.6,24090,6992,22360.0,184.39,130.6469982103151
404,13037,39.6,6365,3851,20638.0,280.37,22.70214359596248
405,13039,32.8,53231,9997,28762.0,613.03,86.83261830579254
406,13043,38.7,10812,2743,18675.0,243.04,44.48650427913101
407,13045,34.8,117183,22664,25593.0,499.08,234.79802837220487
408,13047,40.4,66700,1497,27313.0,162.16,411.3221509620128
409,13049,41.2,13040,3419,21198.0,773.58,16.85669226195093
410,13051,35.6,288496,115023,28791.0,426.44,676.521902260576
411,13053,24.5,10560,2270,24681.0,248.74,42.453967998713516
412,13055,39.4,24812,2593,21970.0,313.34,79.18554924363312
413,13057,38.7,247515,17274,36920.0,421.67,586.9874546446273
414,13059,28.0,126176,35215,20153.0,119.2,1058.523489932886
415,13061,49.8,2951,1841,15701.0,195.38,15.10390009212816
416,13063,32.5,283538,196495,25655.0,141.57,2002.8113300840575
417,13065,39.9,6686,1900,21190.0,800.22,8.355202319362174
418,13067,36.7,751218,207059,37999.0,339.55,2212.392872920041
419,13069,36.3,43021,12261,22050.0,575.1,74.80612067466527
420,13071,36.8,45486,10622,22268.0,544.15,83.5909216208766
421,13073,36.9,150705,25127,36592.0,290.09,519.5111861835983
422,13075,37.3,17177,4631,23493.0,227.16,75.61630568762106
423,13077,39.0,143260,25618,34846.0,440.89,324.9336569212275
424,13079,44.4,12325,2708,26396.0,324.89,37.93591677183047
425,13081,38.5,22713,10344,20029.0,272.58,83.32599603786045
426,13083,42.6,16197,134,23075.0,173.98,93.09690769053915
427,13085,43.6,24536,258,31997.0,210.83,116.37812455532894
428,13087,37.8,26682,11225,24110.0,597.14,44.682988913822555
429,13089,35.8,749323,404889,32501.0,267.58,2800.3699828088797
430,13091,41.8,20829,5987,22254.0,495.89,42.00326685353607
431,13093,43.2,13736,6741,21136.0,391.94,35.04618053783742
